ad_spend,audience_size,creative_score,is_retargeting,click_through_rate
36163.4,904100,9.1,0,10.04
34452.6,707562,2.5,1,8.39
91190.4,710037,9.6,1,7.62
84003.3,388329,4.9,0,3.61
46847.8,457282,7.2,1,8.18
31862.4,391332,3.3,1,6.04
59207.7,709367,4.5,0,6.5
66737.9,522798,6.6,1,6.83
45648.2,426835,7.3,0,6.14
45493.4,493431,4.2,1,6.87
76422.1,632796,7.1,0,6.37
94017.2,665741,3.6,1,6.82
35765.4,489063,4.0,1,9.13
69603.0,541945,3.6,0,4.91
72608.9,921736,5.1,1,9.09
26814.0,559725,8.0,0,8.14
65637.1,872892,2.7,1,7.47
50872.0,445886,6.7,1,6.86
66212.8,534176,6.5,1,7.04
43605.6,739339,7.1,1,10.86

